Track,Count,Percentage
"山东,济南(提货)->山东,淄博(卸货)",71,0.0026664663687234764
"福建,泉州(提货)->安徽,芜湖(卸货)",70,0.002628910504375258
"安徽,马鞍山(提货)->湖北,武汉(卸货)",69,0.00259135464002704
"四川,成都(提货)->重庆,重庆(卸货)",69,0.00259135464002704
"安徽,马鞍山(提货)->北京,北京(卸货)",69,0.00259135464002704
"安徽,合肥(提货)->上海,上海(卸货)",68,0.0025537987756788223
"上海,上海(提货)->安徽,芜湖(卸货)",68,0.0025537987756788223
"天津,天津(提货)->内蒙古,包头(卸货)",67,0.0025162429113306044
"广东,中山(提货)->广东,河源(卸货)",67,0.0025162429113306044
"四川,德阳(提货)->云南,昆明(卸货)",67,0.0025162429113306044
"广东,广州(提货)->广东,珠海(卸货)",65,0.0024411311826341682
"黑龙江,哈尔滨(提货)->安徽,滁州(卸货)",64,0.0024035753182859504
"陕西,宝鸡(提货)->安徽,蚌埠(卸货)",59,0.0022157959965448605
"上海,上海(提货)->河南,郑州(卸货)",56,0.0021031284035002065
"黑龙江,哈尔滨(提货)->四川,成都(卸货)",56,0.0021031284035002065
"黑龙江,哈尔滨(提货)->上海,上海(卸货)",56,0.0021031284035002065
"四川,成都(提货)->云南,昆明(卸货)",54,0.0020280166748037707
"安徽,滁州(提货)->安徽,六安(卸货)",54,0.0020280166748037707
"宁夏,银川(提货)->陕西,西安(卸货)",54,0.0020280166748037707
"天津,天津(提货)->山西,忻州(卸货)",54,0.0020280166748037707
"天津,天津(提货)->陕西,西安(卸货)",53,0.001990460810455553
"浙江,宁波(提货)->江苏,常州(卸货)",53,0.001990460810455553
"安徽,滁州(提货)->山东,济南(卸货)",52,0.0019529049461073347
"四川,成都(提货)->陕西,咸阳(卸货)",51,0.0019153490817591166
"上海,上海(提货)->浙江,杭州(卸货)",51,0.0019153490817591166
"浙江,宁波(提货)->河南,新乡(卸货)",49,0.0018402373530626806
"广东,中山(提货)->陕西,西安(卸货)",47,0.0017651256243662449
"安徽,芜湖(提货)->江西,抚州(卸货)",47,0.0017651256243662449
"湖南,湘潭(提货)->湖南,长沙(卸货)",46,0.0017275697600180268
"内蒙古,鄂尔多斯(提货)->河北,唐山(卸货)",45,0.001690013895669809
"安徽,芜湖(提货)->浙江,杭州(卸货)",45,0.001690013895669809
"浙江,宁波(提货)->浙江,衢州(卸货)",45,0.001690013895669809
"陕西,宝鸡(提货)->甘肃,临夏(卸货)",43,0.001614902166973373
"河北,廊坊(提货)->广东,惠州(卸货)",43,0.001614902166973373
"山东,济南(提货)->山东,莱芜(卸货)",43,0.001614902166973373
"河北,唐山(提货)->黑龙江,牡丹江(卸货)",42,0.0015773463026251548
"陕西,宝鸡(提货)->陕西,铜川(卸货)",39,0.001464678709580501
"四川,遂宁(提货)->四川,成都(卸货)",38,0.001427122845232283
"安徽,合肥(提货)->江苏,南京(卸货)",37,0.001389566980884065
"福建,泉州(提货)->四川,成都(卸货)",36,0.0013520111165358471
"河北,邢台(提货)->安徽,合肥(卸货)",36,0.0013520111165358471
"四川,德阳(提货)->宁夏,银川(卸货)",35,0.001314455252187629
"浙江,宁波(提货)->江苏,宿迁(卸货)",35,0.001314455252187629
"安徽,六安(提货)->安徽,合肥(卸货)",35,0.001314455252187629
"浙江,台州(提货)->山西,运城(卸货)",35,0.001314455252187629
"安徽,芜湖(提货)->江苏,徐州(卸货)",34,0.0012768993878394112
"浙江,宁波(提货)->浙江,杭州(卸货)",33,0.001239343523491193
"上海,上海(提货)->江苏,无锡(卸货)",33,0.001239343523491193
"安徽,芜湖(提货)->吉林,长春(卸货)",33,0.001239343523491193
"安徽,滁州(提货)->安徽,蚌埠(卸货)",33,0.001239343523491193
"浙江,台州(提货)->河南,三门峡(卸货)",33,0.001239343523491193
"上海,上海(提货)->江苏,南京(卸货)",33,0.001239343523491193
"广东,中山(提货)->广西,南宁(卸货)",32,0.0012017876591429752
"四川,成都(提货)->四川,达州(卸货)",31,0.0011642317947947573
"安徽,滁州(提货)->河南,郑州(卸货)",31,0.0011642317947947573
"安徽,芜湖(提货)->江苏,无锡(卸货)",31,0.0011642317947947573
"安徽,滁州(提货)->江苏,徐州(卸货)",31,0.0011642317947947573
"陕西,宝鸡(提货)->甘肃,庆阳(卸货)",30,0.0011266759304465392
"河北,廊坊(提货)->重庆,重庆(卸货)",29,0.0010891200660983213
"安徽,滁州(提货)->安徽,宣城(卸货)",29,0.0010891200660983213
"上海,上海(提货)->安徽,马鞍山(卸货)",29,0.0010891200660983213
"安徽,马鞍山(提货)->安徽,马鞍山(卸货)",28,0.0010515642017501032
"天津,天津(提货)->安徽,合肥(卸货)",28,0.0010515642017501032
"四川,成都(提货)->甘肃,兰州(卸货)",28,0.0010515642017501032
"四川,德阳(提货)->四川,凉山(卸货)",27,0.0010140083374018853
"陕西,宝鸡(提货)->陕西,延安(卸货)",27,0.0010140083374018853
"上海,上海(提货)->浙江,嘉兴(卸货)",27,0.0010140083374018853
"江苏,南京(提货)->安徽,滁州(卸货)",27,0.0010140083374018853
"广东,东莞(提货)->宁夏,银川(卸货)",26,0.0009764524730536674
"安徽,芜湖(提货)->山东,青岛(卸货)",26,0.0009764524730536674
"黑龙江,哈尔滨(提货)->福建,厦门(卸货)",26,0.0009764524730536674
"广东,清远(提货)->江西,赣州(卸货)",26,0.0009764524730536674
"四川,成都(提货)->四川,成都(卸货)",26,0.0009764524730536674
"陕西,西安(提货)->甘肃,庆阳(卸货)",25,0.0009388966087054494
"河南,郑州(提货)->内蒙古,鄂尔多斯(卸货)",25,0.0009388966087054494
"广东,东莞(提货)->广东,广州(卸货)",25,0.0009388966087054494
"陕西,西安(提货)->山西,临汾(卸货)",25,0.0009388966087054494
"安徽,芜湖(提货)->浙江,宁波(卸货)",25,0.0009388966087054494
"安徽,芜湖(提货)->安徽,安庆(卸货)",24,0.0009013407443572314
"广东,东莞(提货)->广东,江门(卸货)",24,0.0009013407443572314
"安徽,蚌埠(提货)->安徽,宿州(卸货)",24,0.0009013407443572314
"宁夏,银川(提货)->上海,上海(卸货)",24,0.0009013407443572314
"广东,中山(提货)->湖南,常德(卸货)",23,0.0008637848800090134
"浙江,宁波(提货)->河南,郑州(卸货)",23,0.0008637848800090134
"广东,东莞(提货)->甘肃,兰州(卸货)",23,0.0008637848800090134
"四川,成都(提货)->四川,巴中(卸货)",23,0.0008637848800090134
"安徽,滁州(提货)->安徽,黄山(卸货)",23,0.0008637848800090134
"广东,东莞(提货)->广东,珠海(卸货)",22,0.0008262290156607954
"安徽,滁州(提货)->湖北,武汉(卸货)",22,0.0008262290156607954
"天津,天津(提货)->内蒙古,乌兰察布(卸货)",22,0.0008262290156607954
"四川,成都(提货)->四川,绵阳(卸货)",21,0.0007886731513125774
"江西,赣州(提货)->广东,广州(卸货)",21,0.0007886731513125774
"浙江,宁波(提货)->福建,宁德(卸货)",20,0.0007511172869643594
"广东,清远(提货)->广西,柳州(卸货)",20,0.0007511172869643594
"湖南,长沙(提货)->湖南,湘潭(卸货)",20,0.0007511172869643594
"安徽,芜湖(提货)->江苏,淮安(卸货)",20,0.0007511172869643594
"安徽,滁州(提货)->江苏,盐城(卸货)",20,0.0007511172869643594
"广东,中山(提货)->湖南,长沙(卸货)",20,0.0007511172869643594
"广东,清远(提货)->广东,清远(卸货)",19,0.0007135614226161416
"四川,成都(提货)->广东,广州(卸货)",19,0.0007135614226161416
"江西,赣州(提货)->河南,新乡(卸货)",19,0.0007135614226161416
"四川,成都(提货)->贵州,贵阳(卸货)",19,0.0007135614226161416
"陕西,西安(提货)->山西,太原(卸货)",19,0.0007135614226161416
"广东,东莞(提货)->新疆,乌鲁木齐(卸货)",19,0.0007135614226161416
"天津,天津(提货)->山西,晋城(卸货)",18,0.0006760055582679236
"四川,乐山(提货)->陕西,西安(卸货)",18,0.0006760055582679236
"江苏,苏州(提货)->江苏,扬州(卸货)",18,0.0006760055582679236
"安徽,宿州(提货)->四川,成都(卸货)",18,0.0006760055582679236
"天津,天津(提货)->辽宁,大连(卸货)",17,0.0006384496939197056
"天津,天津(提货)->辽宁,丹东(卸货)",17,0.0006384496939197056
"广东,中山(提货)->江西,南昌(卸货)",17,0.0006384496939197056
"江苏,南京(提货)->江苏,常州(卸货)",16,0.0006008938295714876
"天津,天津(提货)->天津,天津(卸货)",16,0.0006008938295714876
"天津,天津(提货)->辽宁,朝阳(卸货)",16,0.0006008938295714876
