,city,GPS,boundingbox
116,"吉林,辽源市","(42.764474, 125.41115115847626)","[42.298203, 43.2308705, 124.8344202, 125.8387318]"
117,"吉林,通化市","(42.123889, 125.848333)","[40.86164, 43.0176749, 125.2573902, 126.7438769]"
118,"吉林,白城市","(45.4086001, 123.1327161)","[44.2318088, 46.3029847, 121.6357146, 124.3663995]"
119,"吉林,白山市","(42.185, 127.291389)","[41.3606435, 42.8414054, 126.1137294, 128.3120132]"
120,"吉林,松原市","(44.750929400000004, 124.22158210393695)","[43.9828743, 45.5196854, 123.1084322, 126.1908938]"
121,"吉林,延边朝鲜族自治州","(43.1331507, 129.2795659)","[41.9969365, 44.512061, 127.4633713, 131.311365]"
122,"吉林,公主岭市","(43.7703784, 124.7656749)","[43.1599943, 44.1570497, 124.0087362, 125.3121255]"
123,"吉林,梅河口市","(42.5668595, 125.7838796)","[42.1393107, 43.0176749, 125.2573902, 126.0642317]"
124,"吉林,集安市","(27.0937349, 114.961355)","[25.9751756, 27.9660198, 113.8290882, 115.930661]"
125,"吉林,九台市","(44.2473733, 126.0575422)","[43.8468122, 44.5261481, 125.5756856, 126.498772]"
126,"吉林,桦甸市","(43.106389, 126.975)","[42.5611494, 43.4824755, 126.2693723, 127.846633]"
127,"吉林,蛟河市","(43.6848768, 127.3578579)","[43.2060958, 44.1445675, 126.7465349, 127.9189034]"
128,"吉林,榆树市","(44.8805211, 126.52738850029755)","[44.5100881, 45.251339, 126.0200309, 127.0877885]"
129,"吉林,洮南市","(45.446738, 122.4936235)","[45.0404875, 46.0233244, 121.6357146, 123.3376452]"
130,"吉林,大安市","(45.4427984, 123.7207257)","[44.9499669, 45.7597751, 123.1486622, 124.3663995]"
131,"吉林,延吉市","(42.8888552, 129.5008425)","[42.7288552, 43.0488552, 129.3408425, 129.6608425]"
132,"吉林,图们市","(43.0139427, 129.8119445)","[42.7763163, 43.1709172, 129.5349106, 130.1249445]"
133,"吉林,敦化市","(43.611007150000006, 128.3348351675204)","[42.7051212, 44.512061, 127.4633713, 129.212003]"
134,"吉林,龙井市","(42.71039165, 129.58091107578002)","[42.3601805, 43.0590486, 128.9309138, 129.8038527]"
135,"吉林,珲春市","(42.9899308, 130.4643291)","[42.4183323, 43.2686567, 129.9571897, 130.9494044]"
136,"吉林,德惠市","(44.5517922, 125.89618481491874)","[44.2180364, 44.8846468, 125.3243211, 126.4082281]"
137,"吉林,磐石市","(43.070278, 126.148056)","[42.6656799, 43.4537462, 125.6398669, 126.6849498]"
138,"吉林,舒兰市","(44.299444, 127.171944)","[43.9571109, 44.6460834, 126.4082281, 127.7498989]"
139,"吉林,双辽市","(43.8120019, 123.7723298)","[43.3639086, 44.1082399, 123.2980994, 124.0785598]"
140,"吉林,和龙市","(42.4633208, 128.900372)","[41.9969365, 42.9543156, 128.3813783, 129.4056853]"
141,"吉林,临江市","(41.8317512, 127.19634)","[41.5230856, 42.0636084, 126.5524352, 127.8289747]"
142,"黑龙江,哈尔滨市","(45.7988273, 126.5303997)","[44.0599824, 46.6718214, 125.6782545, 130.2335015]"
143,"黑龙江,齐齐哈尔市","(47.7363891, 124.6567611)","[46.2209288, 48.9215877, 122.3923608, 126.6607166]"
144,"黑龙江,鹤岗市","(47.3355856, 130.2836718)","[47.1755856, 47.4955856, 130.1236718, 130.4436718]"
145,"黑龙江,双鸭山市","(46.522721, 132.645516)","[45.8143812, 47.5783644, 130.6491709, 134.3075834]"
146,"黑龙江,鸡西市","(45.65802, 132.461493)","[44.8525411, 46.6091187, 130.3911014, 133.9414887]"
147,"黑龙江,大庆市","(46.3240228, 124.5598093)","[45.3802435, 47.4752579, 123.7478029, 125.8004541]"
148,"黑龙江,伊春市","(47.9433709, 129.1847514)","[46.4807711, 49.4416197, 127.6213965, 130.7767671]"
149,"黑龙江,牡丹江市","(44.635006, 130.013384)","[43.4232314, 45.9858209, 128.2244013, 131.3138294]"
150,"黑龙江,佳木斯市","(47.02157, 132.044137)","[45.9432378, 48.4252932, 129.4958309, 134.7754563]"
151,"黑龙江,七台河市","(45.917055700000006, 130.8209842869395)","[45.586491, 46.2487865, 130.0962389, 131.9253662]"
152,"黑龙江,绥化市","(46.6520483, 126.9607485)","[46.4920483, 46.8120483, 126.8007485, 127.1207485]"
153,"黑龙江,黑河市","(50.2377974, 127.5132223)","[50.0777974, 50.3977974, 127.3532223, 127.6732223]"
154,"黑龙江,大兴安岭地区","(52.3413513, 124.5619384)","[50.9023675, 53.5608154, 121.1843185, 127.0243343]"
155,"黑龙江,绥芬河市","(44.4136077, 131.0831380171767)","[44.2919947, 44.5345241, 130.9338582, 131.2275133]"
156,"黑龙江,同江市","(47.78564, 133.1718339)","[47.3948864, 48.3043268, 132.3081809, 134.1152774]"
157,"黑龙江,富锦市","(47.174394, 132.516788)","[46.752155, 47.6209489, 131.5622673, 133.4454034]"
158,"黑龙江,铁力市","(46.9842249, 128.0256684)","[46.8242249, 47.1442249, 127.8656684, 128.1856684]"
159,"黑龙江,密山市","(45.4701565, 132.1986356)","[45.0151103, 45.9849541, 131.2390312, 133.1425118]"
160,"黑龙江,安达市","(46.5169806, 125.4192927)","[46.0150022, 47.0110178, 124.8702527, 125.9121739]"
161,"黑龙江,肇东市","(46.026373, 125.814502)","[45.4982184, 46.4259447, 125.3293853, 126.3594941]"
162,"黑龙江,海伦市","(47.416509500000004, 126.82147280464753)","[46.9650269, 47.8680189, 126.2268828, 127.7469863]"
163,"黑龙江,北安市","(48.1392776, 127.151802)","[47.5850593, 48.5365714, 126.2780495, 127.8883588]"
164,"黑龙江,五大连池市","(48.7520542, 126.6482851)","[48.0285149, 49.2003365, 125.6998878, 128.4360746]"
165,"黑龙江,尚志市","(44.980196, 128.315814)","[44.4884949, 45.5904064, 127.3718012, 129.2026958]"
166,"黑龙江,双城市","(45.3662519, 126.3046846)","[45.2062519, 45.5262519, 126.1446846, 126.4646846]"
167,"黑龙江,讷河市","(48.4540245, 125.119851)","[47.9628484, 48.9215877, 124.3099668, 125.9807203]"
168,"黑龙江,海林市","(44.861966, 129.257006)","[44.1943018, 45.6249256, 128.2244013, 129.9716876]"
169,"黑龙江,穆棱市","(44.5331072, 130.3726378)","[43.8322805, 45.1217551, 129.8917479, 131.143704]"
170,"黑龙江,虎林市","(46.0140986, 133.1530496)","[45.3886604, 46.6091187, 132.1448766, 133.9414887]"
171,"黑龙江,宁安市","(44.061477, 129.203752)","[43.520652, 44.4602206, 128.455799, 130.0477311]"
172,"黑龙江,五常市","(44.75176265, 127.48249107001993)","[44.0599824, 45.443524, 126.5473934, 128.2656587]"
173,"江苏,南京市","(32.0609736, 118.7916458)","[31.2302006, 32.615778, 118.3580264, 119.2395068]"
174,"江苏,徐州市","(34.2066591, 117.278286)","[34.0466591, 34.3666591, 117.118286, 117.438286]"
175,"江苏,连云港市","(34.6092633, 119.1695305)","[33.9854788, 35.1552846, 118.395553, 119.9428936]"
176,"江苏,盐城市","(33.3495657, 120.1576778)","[33.1895657, 33.5095657, 119.9976778, 120.3176778]"
177,"江苏,扬州市","(32.3969935, 119.4077008)","[32.2246314, 33.4171032, 119.0045966, 119.9033958]"
178,"江苏,南通市","(31.9827896, 120.8904588)","[31.6581843, 32.7146663, 120.1972876, 121.9746777]"
179,"江苏,镇江市","(32.1901111, 119.4200584)","[31.6269907, 32.3220698, 118.9621166, 119.9674237]"
180,"江苏,常州市","(31.8122623, 119.9691539)","[31.1530205, 32.0617334, 119.1348516, 120.2011368]"
181,"江苏,无锡市","(31.4933074, 120.3074357)","[31.1041479, 31.9927112, 119.513939, 120.6005139]"
182,"江苏,苏州市","(31.3016935, 120.5810725)","[30.7602635, 32.0457785, 119.9162087, 121.382253]"
183,"江苏,泰州市","(32.4585613, 119.9181228)","[32.2985613, 32.6185613, 119.7581228, 120.0781228]"
184,"江苏,宿迁市","(33.9645859, 118.2697782)","[33.8045859, 34.1245859, 118.1097782, 118.4297782]"
185,"江苏,淮安市","(33.5524785, 119.1075773)","[33.3924785, 33.7124785, 118.9475773, 119.2675773]"
186,"江苏,仪征市","(32.4148475, 119.1619072405039)","[32.2246314, 32.6056018, 119.0045966, 119.3327971]"
187,"江苏,常熟市","(31.6572954, 120.7480757)","[31.4949937, 31.8389452, 120.5385696, 121.0966408]"
188,"江苏,张家港市","(31.8782976, 120.5514595)","[31.7199995, 32.0457785, 120.3653115, 120.8899616]"
189,"江苏,江阴市","(31.9092756, 120.2630426)","[31.7492756, 32.0692756, 120.1030426, 120.4230426]"
190,"江苏,丹阳市","(32.0109736, 119.6012702)","[31.8509736, 32.1709736, 119.4412702, 119.7612702]"
191,"江苏,东台市","(32.8536216, 120.3122464)","[32.6936216, 33.0136216, 120.1522464, 120.4722464]"
192,"江苏,兴化市","(32.9325092, 119.8321293)","[32.7725092, 33.0925092, 119.6721293, 119.9921293]"
193,"江苏,宜兴市","(31.3495972, 119.817253)","[31.1041479, 31.6158837, 119.513939, 120.1281207]"
194,"江苏,昆山市","(31.3869323, 120.9764683)","[31.1090894, 31.5437278, 120.7994006, 121.1566472]"
195,"江苏,启东市","(31.884493550000002, 121.68672965391767)","[31.6385239, 32.1279655, 121.4286024, 121.9746777]"
196,"江苏,新沂市","(34.3769236, 118.3485083)","[34.2169236, 34.5369236, 118.1885083, 118.5085083]"
197,"江苏,溧阳市","(31.4188822, 119.4789683)","[31.1530205, 31.6855233, 119.1348516, 119.6120703]"
198,"江苏,大丰市","(33.2019957, 120.4564759)","[32.9134603, 33.5919686, 120.2125709, 120.9725208]"
199,"江苏,泰兴市","(32.1696072, 120.0160999)","[32.0096072, 32.3296072, 119.8560999, 120.1760999]"
200,"江苏,江都市","(22.6991, 109.114)","[22.6791, 22.7191, 109.094, 109.134]"
201,"江苏,靖江市","(32.0165721, 120.2693683)","[31.8565721, 32.1765721, 120.1093683, 120.4293683]"
202,"江苏,高邮市","(32.7875425, 119.4326277)","[32.6275425, 32.9475425, 119.2726277, 119.5926277]"
203,"江苏,如皋市","(32.24629835, 120.5697194826229)","[31.9977859, 32.4947936, 120.340314, 120.8339131]"
204,"江苏,海门市","(31.3066766, 105.3817192)","[31.2866766, 31.3266766, 105.3617192, 105.4017192]"
205,"江苏,句容市","(31.9457106, 119.1676967)","[31.7857106, 32.1057106, 119.0076967, 119.3276967]"
206,"江苏,扬中市","(32.2375297, 119.7921913)","[32.0042934, 32.3220698, 119.6920351, 119.9674237]"
207,"江苏,金坛市","(31.725124899999997, 119.53507369171163)","[31.5602076, 31.8897215, 119.2977158, 119.7503869]"
208,"江苏,吴江市","(31.1415158, 120.6406744)","[30.7602635, 31.2283478, 120.3491504, 120.900566]"
209,"江苏,太仓市","(31.4590371, 121.1264772)","[31.3666864, 31.7642695, 120.9722078, 121.382253]"
210,"江苏,通州市","(26.8321058, 112.4467535)","[26.7921058, 26.8721058, 112.4067535, 112.4867535]"
211,"江苏,邳州市","(34.3402702, 118.0068173)","[34.1802702, 34.5002702, 117.8468173, 118.1668173]"
212,"江苏,姜堰市","(37.6730751, 138.8825389)","[37.5130751, 37.8330751, 138.7225389, 139.0425389]"
213,"安徽,合肥市","(31.8228094, 117.2218033)","[30.9613005, 32.5410692, 116.6866913, 117.9687804]"
214,"安徽,淮南市","(32.5866826, 117.0130019)","[32.4266826, 32.7466826, 116.8530019, 117.1730019]"
215,"安徽,淮北市","(33.9566098, 116.7928916)","[33.2790644, 34.2548001, 116.3888318, 117.0557463]"
216,"安徽,芜湖市","(31.3536127, 118.4277477)","[30.6441499, 31.5404399, 117.4837879, 118.7230988]"
217,"安徽,铜陵市","(30.9345628, 117.8089039)","[30.7745628, 31.0945628, 117.6489039, 117.9689039]"
218,"安徽,蚌埠市","(33.105056649999995, 117.41068476833524)","[32.7099797, 33.5022204, 116.7261956, 118.0691983]"
219,"安徽,马鞍山市","(31.6866105, 118.5048377)","[31.2929572, 32.0631523, 117.8945089, 118.8821769]"
220,"安徽,安庆市","(30.5358685, 117.1048214)","[30.3758685, 30.6958685, 116.9448214, 117.2648214]"
221,"安徽,黄山市","(29.7125012, 118.3215698)","[29.3952274, 30.5195409, 117.1977463, 118.899107]"
222,"安徽,宿州市","(33.6482366, 116.9588062)","[33.2758459, 34.6537437, 116.156711, 118.1790695]"
223,"安徽,滁州市","(32.2545901, 118.3280486)","[32.0945901, 32.4145901, 118.1680486, 118.4880486]"
224,"安徽,巢湖市","(31.627503, 117.8842395)","[31.2705091, 32.0016457, 117.4210887, 117.9687804]"
225,"安徽,六安市","(31.81357565, 116.29813051021137)","[31.0141087, 32.6085277, 115.3654294, 117.2495082]"
226,"安徽,阜阳市","(32.8926763, 115.8090001)","[32.7326763, 33.0526763, 115.6490001, 115.9690001]"
227,"安徽,亳州市","(33.8579594, 115.772453)","[32.8601034, 34.0780235, 115.5404786, 116.8223493]"
228,"安徽,宣城市","(30.9412541, 118.7540167)","[29.9551754, 31.324679, 117.965106, 119.6453203]"
229,"安徽,池州市","(30.6671088, 117.4859885)","[29.5650702, 30.8458385, 116.6440654, 118.1216738]"
230,"安徽,界首市","(33.2619055, 115.3540362)","[33.1019055, 33.4219055, 115.1940362, 115.5140362]"
231,"安徽,桐城市","(31.0530582, 116.953449)","[30.8930582, 31.2130582, 116.793449, 117.113449]"
232,"安徽,天长市","(32.669149, 118.9994478)","[32.509149, 32.829149, 118.8394478, 119.1594478]"
233,"安徽,宁国市","(30.6353605, 118.9867301)","[30.4753605, 30.7953605, 118.8267301, 119.1467301]"
234,"安徽,明光市","(32.7840083, 118.0127491)","[32.4466054, 33.2181435, 117.8287428, 118.4243623]"
235,"山东,济南市","(36.6507007, 117.1140042)","[35.9920671, 37.5381497, 116.2193434, 117.9726333]"
236,"山东,青岛市","(36.0638034, 120.3781372)","[35.9038034, 36.2238034, 120.2181372, 120.5381372]"
237,"山东,淄博市","(36.8047833, 118.0444472)","[36.6447833, 36.9647833, 117.8844472, 118.2044472]"
238,"山东,枣庄市","(34.8113006, 117.3178278)","[34.6513006, 34.9713006, 117.1578278, 117.4778278]"
239,"山东,东营市","(37.5862095, 118.59097889881826)","[36.9361684, 38.2400004, 118.1065186, 119.3582146]"
240,"山东,烟台市","(37.461928, 121.4425255)","[36.5434325, 38.4207808, 119.5475578, 121.9290305]"
241,"山东,威海市","(37.5120997, 122.1152599)","[36.6582294, 37.5962802, 121.1746264, 122.774962]"
242,"山东,济宁市","(35.4125047, 116.5849266)","[34.4306468, 35.981523, 115.8648677, 117.588867]"
243,"山东,泰安市","(36.2002968, 117.0809316)","[35.6339965, 36.477689, 116.041489, 117.996664]"
244,"山东,日照市","(35.4150703, 119.5214512)","[35.2550703, 35.5750703, 119.3614512, 119.6814512]"
245,"山东,莱芜市","(36.29893065, 117.64963280516673)","[36.0466876, 36.5538629, 117.3309502, 117.9292148]"
246,"山东,德州市","(37.4486676, 116.305416)","[36.4100909, 38.0107036, 115.7548016, 117.6003773]"
247,"山东,滨州市","(37.3821206, 117.9647262)","[36.6895122, 38.376654, 117.2598291, 118.4121766]"
248,"山东,临沂市","(35.1032403, 118.3506988)","[34.3785778, 36.2017311, 117.4111755, 119.1951052]"
249,"山东,聊城市","(36.4441808, 115.9642007)","[35.7728789, 37.0325267, 115.2656364, 116.5441706]"
250,"山东,潍坊市","(36.7071591, 119.1557441)","[36.5471591, 36.8671591, 118.9957441, 119.3157441]"
251,"山东,菏泽市","(35.2477266, 115.4464761)","[35.0877266, 35.4077266, 115.2864761, 115.6064761]"
252,"山东,青州市","(35.8556705, 129.2248811)","[35.6334917, 36.0793495, 128.9701795, 129.5543]"
253,"山东,龙口市","(37.6443474, 120.4708629)","[37.4593959, 37.8030029, 120.1828764, 120.7459575]"
254,"山东,曲阜市","(35.5956915, 116.987543)","[35.4356915, 35.7556915, 116.827543, 117.147543]"
255,"山东,新泰市","(35.9068588, 117.76243)","[35.6339965, 36.1117908, 117.2446638, 117.996664]"
256,"山东,胶州市","(36.2589094, 119.96588504364645)","[36.0093794, 36.5081212, 119.6266535, 120.2107359]"
257,"山东,诸城市","(35.9953289, 119.405082)","[35.7163774, 36.2834811, 118.9952393, 119.7232973]"
258,"山东,莱阳市","(36.9794733, 120.7013712)","[36.5738709, 37.1609845, 120.5197664, 120.9873085]"
259,"山东,莱州市","(37.1823043, 119.9325123)","[36.9880788, 37.5116325, 119.5475578, 120.3035135]"
260,"山东,滕州市","(35.113997, 117.1599113)","[34.953997, 35.273997, 116.9999113, 117.3199113]"
261,"山东,文登市","(37.1787297, 121.9857129)","[37.1737297, 37.1837297, 121.9807129, 121.9907129]"
262,"山东,荣成市","(37.1668618, 122.4919734)","[36.715771, 37.4917497, 122.0763012, 122.774962]"
263,"山东,即墨市","(28.4818079, 102.6578713)","[28.4618079, 28.5018079, 102.6378713, 102.6778713]"
264,"山东,平度市","(36.7842974, 119.9493639)","[36.4710938, 37.0461153, 119.5251842, 120.3205476]"
265,"山东,莱西市","(36.8618279, 120.5158492)","[36.5710123, 37.148318, 120.2017887, 120.6553661]"
266,"山东,胶南市","(24.805, 120.9375)","[24.785, 24.825, 120.9175, 120.9575]"
267,"山东,乐陵市","(37.6469388, 117.16321803140067)","[37.4355084, 37.8532134, 116.9156178, 117.3437158]"
268,"山东,临清市","(36.78021785, 115.79388249175608)","[36.6411062, 36.9179224, 115.4347099, 116.065958]"
269,"山东,章丘市","(36.6812623, 117.5682619)","[36.6812123, 36.6813123, 117.5682119, 117.5683119]"
270,"山东,昌邑市","(36.8394346, 119.4013261)","[36.4467124, 37.1906815, 119.2111947, 119.6256103]"
271,"山东,高密市","(36.3654065, 119.8005385)","[36.1430838, 36.6899455, 119.4277573, 120.0101163]"
272,"山东,安丘市","(36.4794705, 119.2129818)","[36.0865088, 36.5556031, 118.7449033, 119.4479562]"
273,"山东,寿光市","(36.8762356, 118.7322549)","[36.7143814, 37.3386366, 118.5380403, 119.1252908]"
274,"山东,招远市","(37.354722, 120.402222)","[37.0761617, 37.5591395, 120.1181599, 120.6328385]"
275,"山东,栖霞市","(37.3083612, 120.8310336)","[37.0848051, 37.5473982, 120.5472632, 121.2635252]"
276,"山东,海阳市","(36.6883484, 121.1686893)","[36.5434325, 37.1744396, 120.8336447, 121.4840685]"
277,"山东,蓬莱市","(37.7564453, 120.7967064)","[37.7514453, 37.7614453, 120.7917064, 120.8017064]"
278,"山东,乳山市","(36.9136248, 121.525514)","[36.6582294, 37.1479487, 121.1746264, 121.9056688]"
279,"山东,兖州市","(23.1301964, 113.2592945)","[22.5176916, 23.9360754, 112.9529252, 114.0500833]"
280,"山东,肥城市","(36.1841443, 116.7653466)","[35.8883165, 36.3128009, 116.4644275, 116.9882213]"
281,"山东,禹城市","(36.933782, 116.6329789)","[36.773782, 37.093782, 116.4729789, 116.7929789]"
282,"山东,邹城市","(35.4042254, 116.9651613)","[35.2442254, 35.5642254, 116.8051613, 117.1251613]"
283,"浙江,杭州市","(30.2489634, 120.2052342)","[29.1888286, 30.5648514, 118.3396948, 120.7128549]"
284,"浙江,宁波市","(29.8622194, 121.6203873)","[28.917404, 30.4859597, 120.8753582, 122.5830446]"
285,"浙江,温州市","(27.9958689, 120.6915792)","[27.1359936, 28.6148932, 119.6202349, 121.2742993]"
286,"浙江,嘉兴市","(30.7474425, 120.7510971)","[30.2645717, 31.0324329, 120.2911826, 121.5344906]"
287,"浙江,湖州市","(30.8942995, 120.0851114)","[30.3756191, 31.1825784, 119.2324036, 120.4840793]"
288,"浙江,绍兴市","(29.9992425, 120.576854)","[29.2304075, 30.2881762, 119.8903733, 121.2276935]"
289,"浙江,金华市","(29.1080344, 119.6486487)","[28.9480344, 29.2680344, 119.4886487, 119.8086487]"
290,"浙江,衢州市","(28.973887, 118.8540924)","[28.2414132, 29.5004089, 118.022407, 119.3417699]"
291,"浙江,舟山市","(29.9873344, 122.2030363)","[29.414686, 30.9103907, 121.5238946, 123.1682304]"
292,"浙江,丽水市","(28.4704064, 119.9184297)","[27.4197953, 28.9464929, 118.6903533, 120.4319608]"
293,"浙江,台州市","(28.6581723, 121.4163876)","[28.0144077, 29.3472596, 120.2850399, 121.997487]"
294,"浙江,余姚市","(30.0393082, 121.1501449)","[29.6514939, 30.3668624, 120.8753582, 121.4206825]"
295,"浙江,海宁市","(30.5142256, 120.6759733)","[30.2645717, 30.5942435, 120.3014168, 120.8426517]"
296,"浙江,兰溪市","(29.2102744, 119.4553921)","[29.0875771, 29.4570896, 119.2163307, 119.8885742]"
297,"浙江,瑞安市","(27.826185199999998, 120.4693670785285)","[27.6001947, 27.9855879, 120.1760446, 121.2296673]"
298,"浙江,江山市","(28.7417596, 118.6226466)","[28.5817596, 28.9017596, 118.4626466, 118.7826466]"
299,"浙江,东阳市","(29.2908082, 120.2366509)","[28.968223, 29.4867419, 120.0737642, 120.7254882]"
300,"浙江,义乌市","(29.3063535, 120.0702682)","[29.0406997, 29.5470884, 119.8189917, 120.2719803]"
301,"浙江,慈溪市","(30.1708675, 121.261786)","[30.0404534, 30.4859597, 121.0372392, 121.6790765]"
302,"浙江,奉化市","(29.6575927, 121.4014508)","[29.4089464, 29.789521, 121.0681154, 121.7767953]"
303,"浙江,诸暨市","(29.7157268, 120.2315762)","[29.5557268, 29.8757268, 120.0715762, 120.3915762]"
304,"浙江,临海市","(28.853159499999997, 121.19433766063938)","[28.6329264, 29.073457, 120.8211205, 121.997487]"
305,"浙江,龙泉市","(28.0760972, 119.1370006)","[27.7397919, 28.3356209, 118.7114382, 119.4221028]"
306,"浙江,临安市","(30.2371364, 119.7192631)","[30.0771364, 30.3971364, 119.5592631, 119.8792631]"
307,"浙江,富阳市","(32.8926763, 115.8090001)","[32.7326763, 33.0526763, 115.6490001, 115.9690001]"
308,"浙江,建德市","(29.48824475, 119.4435069019816)","[29.2053198, 29.7707424, 118.8969308, 119.7645033]"
309,"浙江,乐清市","(28.248764899999998, 121.01634529642902)","[27.9602916, 28.5361963, 120.7816744, 121.2495669]"
310,"浙江,平湖市","(30.6782402, 121.0116196)","[30.273894, 30.8589861, 120.946126, 121.5344906]"
311,"浙江,桐乡市","(30.6316971, 120.5610365)","[30.4715661, 30.7941091, 120.2911826, 120.6639039]"
312,"浙江,上虞市","(37.1478816, 138.2359501)","[36.940891, 37.5260318, 137.7845494, 138.568896]"
313,"浙江,永康市","(28.8906978, 120.0427315)","[28.7567234, 29.1028015, 119.8825884, 120.3403929]"
314,"浙江,温岭市","(28.36740535, 121.4539368158583)","[28.202768, 28.5314119, 121.1576629, 121.7443081]"
315,"浙江,嵊州市","(29.5633687, 120.8272061)","[29.4033687, 29.7233687, 120.6672061, 120.9872061]"
316,"江西,南昌市","(28.687547, 115.8540042)","[28.1606742, 29.1250725, 115.4342621, 116.560835]"
317,"江西,景德镇市","(29.2909294, 117.204121)","[28.7223282, 29.9299736, 116.9521344, 117.7044026]"
318,"江西,萍乡市","(27.6603206, 113.8830806)","[26.9622404, 28.0106988, 113.5749006, 114.2767359]"
319,"江西,新余市","(27.8214162, 114.9124505)","[27.5339613, 28.1116879, 114.4772667, 115.4022145]"
320,"江西,九江市","(29.384461350000002, 115.68049202188841)","[28.6887413, 30.0799869, 113.936723, 116.8995093]"
321,"江西,鹰潭市","(28.2741176, 117.034423)","[27.8477851, 28.6306175, 116.6847466, 117.4675286]"
322,"江西,上饶市","(28.4582821, 117.9381305)","[27.8035885, 29.7018287, 116.2240265, 118.482163]"
323,"江西,宜春市","(27.81697, 114.4112498)","[27.5471367, 29.1027622, 113.8834782, 116.1487448]"
324,"江西,吉安市","(27.0937349, 114.961355)","[25.9751756, 27.9660198, 113.8290882, 115.930661]"
325,"江西,赣州市","(25.8332103, 114.9287362)","[24.4888474, 27.1479969, 113.9091094, 116.6340009]"
326,"江西,抚州市","(27.9511188, 116.3530413)","[27.7911188, 28.1111188, 116.1930413, 116.5130413]"
327,"江西,瑞昌市","(29.6765809, 115.676396)","[29.5165809, 29.8365809, 115.516396, 115.836396]"
328,"江西,德兴市","(28.9482645, 117.7569627)","[28.6405197, 29.295038, 117.3808791, 118.0906033]"
329,"江西,丰城市","(28.1959598, 115.7846975)","[27.7283849, 28.4221783, 115.4295643, 116.1487448]"
330,"江西,樟树市","(28.0082247, 115.3993097)","[27.8245506, 28.1559357, 115.1093016, 115.7163593]"
331,"江西,乐平市","(22.1887958, 112.3090696)","[21.9113409, 22.4976329, 111.9992053, 112.5252838]"
332,"江西,贵溪市","(28.2846932, 117.2023952)","[27.8477851, 28.6306175, 116.9212544, 117.4675286]"
333,"江西,高安市","(28.4168903, 115.3742552)","[28.0472296, 28.6456235, 115.0041834, 115.5826702]"
334,"江西,南康市","(25.6637996, 114.7606438)","[25.4684064, 26.2366114, 114.4856765, 114.9261734]"
335,"江西,瑞金市","(25.8787449, 116.0274359)","[25.5499496, 26.2930089, 115.6903228, 116.3652402]"
336,"江西,井冈山市","(26.5718342, 114.1653795)","[26.3677468, 26.8366896, 113.8372978, 114.4765817]"
337,"福建,福州市","(26.0774954, 119.2918215)","[25.2363116, 26.6434234, 118.381233, 119.9880288]"
338,"福建,厦门市","(24.4801069, 118.0853479)","[24.3846259, 24.909418, 117.8768704, 118.4334753]"
339,"福建,三明市","(26.2672397, 117.6340402)","[25.477725, 27.1308004, 116.3801319, 118.6544894]"
340,"福建,莆田市","(25.4557366, 119.0029034)","[24.92505, 25.7577411, 118.450058, 119.7344967]"
341,"福建,泉州市","(24.8755492, 118.6723605)","[24.4771506, 25.934744, 117.5518828, 119.1220086]"
342,"福建,漳州市","(24.5164639, 117.6424895)","[23.5167751, 25.210197, 116.8955078, 118.2170098]"
343,"福建,南平市","(27.3864812, 118.0777547)","[27.2264812, 27.5464812, 117.9177547, 118.2377547]"
344,"福建,宁德市","(26.6695006, 119.5432715)","[26.2944154, 27.6794427, 118.5408478, 120.7277295]"
345,"福建,龙岩市","(25.0767425, 117.0123483)","[24.3752649, 26.0357388, 115.8467567, 117.7354433]"
346,"福建,永安市","(25.88302515, 117.32249276665624)","[25.5587584, 26.1975689, 116.9347763, 117.7748793]"
347,"福建,石狮市","(24.7337639, 118.6439351)","[24.6098787, 24.8288841, 118.580788, 118.8844296]"
348,"福建,福清市","(25.7237321, 119.3795377)","[25.2698466, 25.8523517, 119.0632775, 119.6892642]"
349,"福建,邵武市","(27.2574529, 117.42206798298986)","[26.9234897, 27.5913354, 117.0385842, 117.8241121]"
350,"福建,武夷山市","(27.77201915, 117.92985748252613)","[27.4645939, 28.0790422, 117.6249008, 118.3259888]"
351,"福建,福安市","(27.0494665, 119.61083409103011)","[26.6931585, 27.4068997, 119.3819432, 119.863603]"
352,"福建,漳平市","(25.346546449999998, 117.507104954833)","[24.9072229, 25.7865219, 117.1752168, 117.7354433]"
353,"福建,长乐市","(25.1313491, 113.3470997)","[24.9638804, 25.5195165, 112.8458884, 113.5828398]"
354,"福建,南安市","(24.9633929, 118.3842852)","[24.5474358, 25.302984, 118.123948, 118.5856933]"
355,"福建,晋江市","(24.784435, 118.5477505)","[24.4771506, 24.907136, 118.4080401, 118.7319943]"
356,"福建,龙海市","(24.4490237, 117.8132438)","[24.1475357, 24.5915293, 117.4934618, 118.2170098]"
357,"福建,建阳市","(30.3915544, 104.5532107)","[30.0920455, 30.6464281, 104.1892662, 104.8948475]"
358,"福建,建瓯市","(26.9935796, 118.44696432526658)","[26.6499784, 27.3390294, 117.9798871, 118.9521408]"
359,"福建,福鼎市","(27.210409900000002, 120.2232636674726)","[26.9142639, 27.4432493, 119.932149, 120.7277295]"
360,"湖南,长沙市","(28.2302056, 112.9335861)","[28.0702056, 28.3902056, 112.7735861, 113.0935861]"
361,"湖南,株洲市","(37.438147, 137.2484135)","[37.278147, 37.598147, 137.0884135, 137.4084135]"
